lat,long,yds_clean_coarse,ver_clean_coarse,fa,route_name,nopm_YDS,nopm_Vermin,has_f,has_fB,has_fanat,has_fall,has_fBall,has_fallsex,has_m,has_manat,has_mall,has_mallsex,has_sex,has_fmallsex,has_eth,has_lgbt,has_drugs,has_money,has_violence,has_penis,has_bitch,has_pussy,has_whore,has_virgin,has_arete,has_slab,has_overhang,has_dihedral,has_roof,has_jug,has_crimp,has_flake,has_any,rating
 44.4578,-103.8589,12.0,,LT equipped by: Joel mckillop,Easy Skankin,5.12c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.29254,-103.88384,11.0,,Mike Cronin,Breast Pump,5.11b,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.31726,-103.90147,10.0,,Mike Cronin,Double Mochachino Slut Puppies,5.10a,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.88764,-103.47043,,5.0,Chris Hirsch 2014,Two Trashy Dykes aka OSCAR,,V5/6,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.87379,-103.45852,,3.0,Michael Madsen,Thats Politics Bitch,,V3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.8483,-103.44879,12.0,,"Mike Cronin, Heather Heynen",R12 - Beaver,5.12a,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.88598,-103.4665,9.0,,unknown,Tits and Aspen,5.9,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.8864,-103.467,10.0,,Paul Piana & Heidi Badaracco 1989,Bull Dyke,5.10a/b,,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.8864,-103.467,11.0,,Paul Piana & Hedi Badaracco-1989,Dykes Next Door,5.11a,,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.8856,-103.4696,,8.0,Josh Dreher,Dyke Dream,,V8,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.8853,-103.4702,,9.0,Chuck Fryberger 2003,No More Mr. T   aka   Fryberger's Dyke,,V9/10,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.8631,-103.46356,,5.0,Joshua Dreher,Lay Into Gary's Vagina Waves,,V5,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.8631,-103.46356,,3.0,Gary Carnes,Gary's Vagina Waves,,V3,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.04061,-103.33278,13.0,,Chris Hirsch,Whoreizontal,5.13a,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Advanced
 43.81155,-91.20595,10.0,,unknown,Psychobitch,5.10d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.0335,-90.1076,,7.0,Go get it!!,Project ( We call it titty twister),,V7/8,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.41367,-89.71340000000001,7.0,,unknown,Pussy Galore's Flying Circus,5.7,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Beginner
 43.40501,-89.72901,,4.0,Remo?,Pussy Whipped Left,,V4,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
